id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
860296438823227392,DrBrianKinghorn,"RT @nicolerdamico: @lisahervey ""Learning should look like how kids live"" #siteconf #socialmediaed https://t.co/pqTZ7aMx1M",Fri May 05 00:53:49 +0000 2017,05/05/2017 01:53:49,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860296438823227392,"{""hashtags"":[{""text"":""siteconf"",""indices"":[73,82]},{""text"":""socialmediaed"",""indices"":[83,97]}],""symbols"":[],""user_mentions"":[{""screen_name"":""nicolerdamico"",""name"":""nicole damico"",""id"":14093364,""id_str"":""14093364"",""indices"":[3,17]},{""screen_name"":""lisahervey"",""name"":""Dr. Lisa Hervey NBCT"",""id"":16566334,""id_str"":""16566334"",""indices"":[19,30]}],""urls"":[],""media"":[{""id"":839894849050591200,""id_str"":""839894849050591233"",""indices"":[98,121],""media_url"":""http://pbs.twimg.com/media/C6fn6k5XQAEO2WT.jpg"",""media_url_https"":""https://pbs.twimg.com/media/C6fn6k5XQAEO2WT.jpg"",""url"":""https://t.co/pqTZ7aMx1M"",""display_url"":""pic.twitter.com/pqTZ7aMx1M"",""expanded_url"":""https://twitter.com/nicolerdamico/status/839894851575480320/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":680,""h"":634,""resize"":""fit""},""medium"":{""w"":1024,""h"":955,""resize"":""fit""},""large"":{""w"":1024,""h"":955,""resize"":""fit""}},""source_status_id"":839894851575480300,""source_status_id_str"":""839894851575480320"",""source_user_id"":14093364,""source_user_id_str"":""14093364""}]}"
860296378806915072,DrBrianKinghorn,RT @chrisgreenhow: Join the Social Media SIG @siteconf (via @dankrutka) #siteconf #SocialMediaEd https://t.co/1QUuzI3wUD #MSUepet #edtech,Fri May 05 00:53:34 +0000 2017,05/05/2017 01:53:34,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860296378806915072,"{""hashtags"":[{""text"":""siteconf"",""indices"":[72,81]},{""text"":""SocialMediaEd"",""indices"":[82,96]},{""text"":""MSUepet"",""indices"":[121,129]},{""text"":""edtech"",""indices"":[130,137]}],""symbols"":[],""user_mentions"":[{""screen_name"":""chrisgreenhow"",""name"":""Christine Greenhow"",""id"":22065128,""id_str"":""22065128"",""indices"":[3,17]},{""screen_name"":""siteconf"",""name"":""SITE Conference"",""id"":17079672,""id_str"":""17079672"",""indices"":[45,54]},{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[60,70]}],""urls"":[],""media"":[{""id"":839197892162138100,""id_str"":""839197892162138112"",""indices"":[97,120],""media_url"":""http://pbs.twimg.com/media/C6VuCWKUsAArIJ-.jpg"",""media_url_https"":""https://pbs.twimg.com/media/C6VuCWKUsAArIJ-.jpg"",""url"":""https://t.co/1QUuzI3wUD"",""display_url"":""pic.twitter.com/1QUuzI3wUD"",""expanded_url"":""https://twitter.com/dankrutka/status/839197899426840576/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":510,""resize"":""fit""},""medium"":{""w"":1200,""h"":900,""resize"":""fit""},""large"":{""w"":2048,""h"":1536,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""}},""source_status_id"":839197899426840600,""source_status_id_str"":""839197899426840576"",""source_user_id"":612592849,""source_user_id_str"":""612592849""}]}"
860296286188310528,DrBrianKinghorn,RT @dankrutka: Our @siteconf Social Media SIG created a welcome video! https://t.co/SaUXsfdSGY #SocialMediaEd #siteconf #edtech https://t.c…,Fri May 05 00:53:12 +0000 2017,05/05/2017 01:53:12,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860296286188310528,"{""hashtags"":[{""text"":""SocialMediaEd"",""indices"":[95,109]},{""text"":""siteconf"",""indices"":[110,119]},{""text"":""edtech"",""indices"":[120,127]}],""symbols"":[],""user_mentions"":[{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[3,13]},{""screen_name"":""siteconf"",""name"":""SITE Conference"",""id"":17079672,""id_str"":""17079672"",""indices"":[19,28]}],""urls"":[{""url"":""https://t.co/SaUXsfdSGY"",""expanded_url"":""https://youtu.be/t5CsOPWw-Gw"",""display_url"":""youtu.be/t5CsOPWw-Gw"",""indices"":[71,94]}]}"
860295990129152001,DrBrianKinghorn,"RT @dankrutka: Not surprisingly, the best thing about #siteconf wasn't the tech, it was the people! Thx for the ideas, support, &amp; laughs. U…",Fri May 05 00:52:02 +0000 2017,05/05/2017 01:52:02,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860295990129152001,"{""hashtags"":[{""text"":""siteconf"",""indices"":[54,63]}],""symbols"":[],""user_mentions"":[{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[3,13]}],""urls"":[]}"
860295797702840320,DrBrianKinghorn,"RT @jrscienceworld: Mindfulness &amp; social media #siteconf presentation by @dankrutka @nicolerdamico ""know where we're coming from b4 tweetin…",Fri May 05 00:51:16 +0000 2017,05/05/2017 01:51:16,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860295797702840320,"{""hashtags"":[{""text"":""siteconf"",""indices"":[51,60]}],""symbols"":[],""user_mentions"":[{""screen_name"":""jrscienceworld"",""name"":""Brian Kinghorn"",""id"":2328009854,""id_str"":""2328009854"",""indices"":[3,18]},{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[77,87]},{""screen_name"":""nicolerdamico"",""name"":""nicole damico"",""id"":14093364,""id_str"":""14093364"",""indices"":[88,102]}],""urls"":[]}"
860295553170776066,DrBrianKinghorn,"RT @bretsw: Wow, #MSUepet, @jrscienceworld has high standards for class microblogging: no RTs or URLs! #siteconf",Fri May 05 00:50:18 +0000 2017,05/05/2017 01:50:18,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860295553170776066,"{""hashtags"":[{""text"":""MSUepet"",""indices"":[17,25]},{""text"":""siteconf"",""indices"":[103,112]}],""symbols"":[],""user_mentions"":[{""screen_name"":""bretsw"",""name"":""Bret Staudt Willet"",""id"":53167706,""id_str"":""53167706"",""indices"":[3,10]},{""screen_name"":""jrscienceworld"",""name"":""Brian Kinghorn"",""id"":2328009854,""id_str"":""2328009854"",""indices"":[27,42]}],""urls"":[]}"
860295474066198528,DrBrianKinghorn,"RT @BWGleason: #SocialMediaEd member @jrscienceworld sharing the psychology of social media at #siteconf, focusing on experiencing SM in na…",Fri May 05 00:49:59 +0000 2017,05/05/2017 01:49:59,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860295474066198528,"{""hashtags"":[{""text"":""SocialMediaEd"",""indices"":[15,29]},{""text"":""siteconf"",""indices"":[95,104]}],""symbols"":[],""user_mentions"":[{""screen_name"":""BWGleason"",""name"":""Benjamin Gleason"",""id"":21514241,""id_str"":""21514241"",""indices"":[3,13]},{""screen_name"":""jrscienceworld"",""name"":""Brian Kinghorn"",""id"":2328009854,""id_str"":""2328009854"",""indices"":[37,52]}],""urls"":[]}"
860295033844625408,DrBrianKinghorn,RT @spgreenhalgh: .@jrscienceworld has taught “Psych of Social Media” course at both @byuhawaii and @marshallu #siteconf #socialmediaed,Fri May 05 00:48:14 +0000 2017,05/05/2017 01:48:14,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860295033844625408,"{""hashtags"":[{""text"":""siteconf"",""indices"":[111,120]},{""text"":""socialmediaed"",""indices"":[121,135]}],""symbols"":[],""user_mentions"":[{""screen_name"":""spgreenhalgh"",""name"":""Spencer Greenhalgh"",""id"":129211252,""id_str"":""129211252"",""indices"":[3,16]},{""screen_name"":""jrscienceworld"",""name"":""Brian Kinghorn"",""id"":2328009854,""id_str"":""2328009854"",""indices"":[19,34]},{""screen_name"":""byuhawaii"",""name"":""BYU–Hawaii"",""id"":113217721,""id_str"":""113217721"",""indices"":[85,95]},{""screen_name"":""marshallu"",""name"":""Marshall University"",""id"":18009532,""id_str"":""18009532"",""indices"":[100,110]}],""urls"":[]}"
860294757842640898,DrBrianKinghorn,RT @dankrutka: Our newly created @siteconf Social Media SIG! #siteconf #SocialMediaEd https://t.co/V04o5tJBZv,Fri May 05 00:47:08 +0000 2017,05/05/2017 01:47:08,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860294757842640898,"{""hashtags"":[{""text"":""siteconf"",""indices"":[61,70]},{""text"":""SocialMediaEd"",""indices"":[71,85]}],""symbols"":[],""user_mentions"":[{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[3,13]},{""screen_name"":""siteconf"",""name"":""SITE Conference"",""id"":17079672,""id_str"":""17079672"",""indices"":[33,42]}],""urls"":[],""media"":[{""id"":839197892162138100,""id_str"":""839197892162138112"",""indices"":[86,109],""media_url"":""http://pbs.twimg.com/media/C6VuCWKUsAArIJ-.jpg"",""media_url_https"":""https://pbs.twimg.com/media/C6VuCWKUsAArIJ-.jpg"",""url"":""https://t.co/V04o5tJBZv"",""display_url"":""pic.twitter.com/V04o5tJBZv"",""expanded_url"":""https://twitter.com/dankrutka/status/839197899426840576/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":510,""resize"":""fit""},""medium"":{""w"":1200,""h"":900,""resize"":""fit""},""large"":{""w"":2048,""h"":1536,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""}},""source_status_id"":839197899426840600,""source_status_id_str"":""839197899426840576"",""source_user_id"":612592849,""source_user_id_str"":""612592849""}]}"
860294644525092864,DrBrianKinghorn,RT @bretsw: Congrats @dankrutka and @BWGleason for election as the first co-chairs of the #siteconf Social Media SIG #SocialMediaEd,Fri May 05 00:46:41 +0000 2017,05/05/2017 01:46:41,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860294644525092864,"{""hashtags"":[{""text"":""siteconf"",""indices"":[90,99]},{""text"":""SocialMediaEd"",""indices"":[117,131]}],""symbols"":[],""user_mentions"":[{""screen_name"":""bretsw"",""name"":""Bret Staudt Willet"",""id"":53167706,""id_str"":""53167706"",""indices"":[3,10]},{""screen_name"":""dankrutka"",""name"":""💢Dan Krutka, PhD 💢"",""id"":612592849,""id_str"":""612592849"",""indices"":[21,31]},{""screen_name"":""BWGleason"",""name"":""Benjamin Gleason"",""id"":21514241,""id_str"":""21514241"",""indices"":[36,46]}],""urls"":[]}"
860294513977425922,DrBrianKinghorn,RT @jrscienceworld: Talking about @dmllab #makerspaces in #teachered @siteconf with @dmboyer #siteconf https://t.co/3VFHrymhH1,Fri May 05 00:46:10 +0000 2017,05/05/2017 01:46:10,,en,,,703622955520040960,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/859919648728510466/vyoE_8Fe_normal.jpg,78,544,"Huntington, WV",http://twitter.com/DrBrianKinghorn/statuses/860294513977425922,"{""hashtags"":[{""text"":""makerspaces"",""indices"":[42,54]},{""text"":""teachered"",""indices"":[58,68]},{""text"":""siteconf"",""indices"":[93,102]}],""symbols"":[],""user_mentions"":[{""screen_name"":""jrscienceworld"",""name"":""Brian Kinghorn"",""id"":2328009854,""id_str"":""2328009854"",""indices"":[3,18]},{""screen_name"":""dmllab"",""name"":""Clemson DML Labs"",""id"":1246146348,""id_str"":""1246146348"",""indices"":[34,41]},{""screen_name"":""siteconf"",""name"":""SITE Conference"",""id"":17079672,""id_str"":""17079672"",""indices"":[69,78]},{""screen_name"":""dmboyer"",""name"":""matthew"",""id"":9332402,""id_str"":""9332402"",""indices"":[84,92]}],""urls"":[],""media"":[{""id"":839167473350033400,""id_str"":""839167473350033408"",""indices"":[103,126],""media_url"":""http://pbs.twimg.com/media/C6VSXvQXQAALoTU.jpg"",""media_url_https"":""https://pbs.twimg.com/media/C6VSXvQXQAALoTU.jpg"",""url"":""https://t.co/3VFHrymhH1"",""display_url"":""pic.twitter.com/3VFHrymhH1"",""expanded_url"":""https://twitter.com/jrscienceworld/status/839167493587546115/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":1200,""h"":675,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":2048,""h"":1152,""resize"":""fit""},""small"":{""w"":680,""h"":383,""resize"":""fit""}},""source_status_id"":839167493587546100,""source_status_id_str"":""839167493587546115"",""source_user_id"":2328009854,""source_user_id_str"":""2328009854""}]}"
